source_class,arm,snr0,L_direct_M,L_arm_M,delta_L_stable_structure_M,threshold_M,noise_semantics,meets_threshold
L1056,RESOLVED_PHYSICAL,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L1056,UNRESOLVED_IMAGE,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L1056,TOTAL_FLUX,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L1056,RESOLVED_PHYSICAL,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L1056,UNRESOLVED_IMAGE,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L1056,TOTAL_FLUX,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L224,RESOLVED_PHYSICAL,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L224,UNRESOLVED_IMAGE,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L224,TOTAL_FLUX,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L224,RESOLVED_PHYSICAL,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L224,UNRESOLVED_IMAGE,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L224,TOTAL_FLUX,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L448,RESOLVED_PHYSICAL,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L448,UNRESOLVED_IMAGE,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L448,TOTAL_FLUX,100.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L448,RESOLVED_PHYSICAL,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L448,UNRESOLVED_IMAGE,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L448,TOTAL_FLUX,1000.0,0.0,0.0,0.0,8.0,truth_mean_noise,False
L1056,RESOLVED_PHYSICAL,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L1056,UNRESOLVED_IMAGE,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L1056,TOTAL_FLUX,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L1056,RESOLVED_PHYSICAL,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L1056,UNRESOLVED_IMAGE,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L1056,TOTAL_FLUX,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L224,RESOLVED_PHYSICAL,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L224,UNRESOLVED_IMAGE,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L224,TOTAL_FLUX,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L224,RESOLVED_PHYSICAL,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L224,UNRESOLVED_IMAGE,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L224,TOTAL_FLUX,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L448,RESOLVED_PHYSICAL,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L448,UNRESOLVED_IMAGE,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L448,TOTAL_FLUX,100.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L448,RESOLVED_PHYSICAL,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L448,UNRESOLVED_IMAGE,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
L448,TOTAL_FLUX,1000.0,0.0,0.0,0.0,8.0,joint_truth_noise,False
