geometry,spin,inclination_deg,arm,support,source_dimension,data_dimension,rays_per_order,r_inner,r_outer,a0_999_M,reference_snr,numerical_rank,operational_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information,J_old_at_reference_snr,D_vs_resolved,D_vs_resolved_localized_class,log_information_volume_total,T_rec_at_reference_snr,T_rec_right_censored,T_rec_report,T_rec_best_mode_at_reference_snr,T_rec_best_mode_report
a000_i020,0.0,20,DIRECT_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,224,11864,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,133,0,11505.505253437766,3.40425484556201e-07,33797426383.7416,5.721429761583566,40.388661667652826,757383711.5533334,15.015935530161347,0.26417838815343087,0.31465133666570916,579.2846096443335,20.0,False,20.0,24.0,24.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,224,35592,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,203,0,11506.557191583122,0.016348267016151895,703839.567840113,5.769277180446952,53.04085090656546,763857251.0570157,67.85788581646776,0.0,0.0,860.5241873417081,60.0,False,60.0,68.0,68.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,PRIMARY_GEOMETRY_DEPENDENT,224,11864,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,177,0,11430.05611583363,0.0011574115932930285,9875532.768177325,5.712409264552144,42.125444647309166,746304465.0685335,16.48052396125176,0.2561280272110964,0.2919220579195897,595.0215351415217,20.0,False,20.0,28.0,28.0
a000_i020,0.0,20,TOTAL_FLUX,PRIMARY_GEOMETRY_DEPENDENT,224,24,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,24,14,200,10282.363041806644,1.5362587216317902e-05,669311939.2601317,1.319502959228324,3.3046880927993763,139507075.81047562,22.42631738194587,0.2517456903296405,0.8383449604784805,118.78755718695861,20.0,False,20.0,44.0,44.0
a000_i020,0.0,20,DELAY_ONLY,PRIMARY_GEOMETRY_DEPENDENT,224,35592,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,215,0,11506.898406195676,0.13048353222071235,88186.5949699446,5.763822059408864,54.17414903177748,763180248.919157,67.85788581646776,0.0,0.16907419976357502,1026.826893267958,60.0,False,60.0,80.0,80.0
a000_i020,0.0,20,SPATIAL_ONLY,PRIMARY_GEOMETRY_DEPENDENT,224,35592,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,140,0,11530.00399568483,1.3141791232912354e-06,8773540677.475567,5.745800477941963,41.810930703238895,763852416.1790106,15.057963925495711,0.2640995090114741,0.3107680569964205,596.3592516940813,20.0,False,20.0,24.0,24.0
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,PRIMARY_GEOMETRY_DEPENDENT,224,35592,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,217,0,12777.519547280877,0.4034601929559844,31669.839479491955,14.91499367348668,104.1625748779065,2435096528.327543,439.7660286433471,1.4650597939198544,1.586314181306,2676.8672832386605,96.0,False,96.0,100.0,100.0
a000_i020,0.0,20,PAIRING_DESTROYED,PRIMARY_GEOMETRY_DEPENDENT,224,35592,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,220,0,10139.422027076687,0.5615341273067829,18056.64434984059,7.425720589964986,76.56365728525317,763422584.2214818,57.10823154509926,0.09072942931527665,0.4830091006071097,1386.5792673284036,44.0,False,44.0,80.0,80.0
a000_i020,0.0,20,DELTA_G_INDIRECT,PRIMARY_GEOMETRY_DEPENDENT,224,0,1483,2.000036968769375,49.94476568352094,18.47709816245863,100.0,224,-1,-1,712136.9669458973,1.7940455792724568e-05,39694474609.429474,3.690938408398982,,6473539.5036829375,,,,,,False,n/a,,n/a
a000_i050,0.0,50,DIRECT_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,224,12288,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,153,0,12409.499940795919,9.688633619734208e-06,1280830757.7571864,5.7561494724204,42.97317792594797,886422202.7295469,8.342603276052957,0.1375023931280018,0.2306927864975978,1038.3348211062887,60.0,False,60.0,60.0,60.0
a000_i050,0.0,50,RESOLVED_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,224,36864,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,201,0,12414.011731364812,0.01766686764914609,702671.9154691143,5.815996972637534,52.023384653007724,896289842.6019217,40.92859703267712,0.0,0.0,1295.2477700126674,84.0,False,84.0,92.0,92.0
a000_i050,0.0,50,UNRESOLVED_IMAGE,PRIMARY_GEOMETRY_DEPENDENT,224,12288,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,177,0,12301.128115919546,0.0016584960266300044,7417038.03832134,5.741701470235627,44.15457095388898,868821364.4380115,9.610485885343154,0.13179255991082986,0.21132147437613968,1054.2066898298112,60.0,False,60.0,64.0,64.0
a000_i050,0.0,50,TOTAL_FLUX,PRIMARY_GEOMETRY_DEPENDENT,224,24,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,24,13,200,10265.557617968969,1.000962761800769e-05,1025568383.7329624,1.1733038144091403,3.2959523336504493,123644719.14357704,7.399452511667984,0.3710814146464131,0.8061806222139242,237.04661783424012,56.0,False,56.0,68.0,68.0
a000_i050,0.0,50,DELAY_ONLY,PRIMARY_GEOMETRY_DEPENDENT,224,36864,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,211,0,12417.505667948913,0.1411973172835822,87944.34559269609,5.812150638755041,54.75635588395092,896201353.7022465,40.92859703267712,0.0,0.15120445121771983,1465.728914533645,84.0,False,84.0,96.0,96.0
a000_i050,0.0,50,SPATIAL_ONLY,PRIMARY_GEOMETRY_DEPENDENT,224,36864,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,177,0,12420.32335992564,0.0007084292941781324,17532198.99571599,5.809991349579538,49.29365328667106,896275017.5891131,8.381029576956609,0.13739420090648619,0.20597777039807247,1204.0492808883241,60.0,False,60.0,60.0,60.0
a000_i050,0.0,50,EQUALIZED_ORDER_SENSITIVITY,PRIMARY_GEOMETRY_DEPENDENT,224,36864,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,215,0,15608.15610429869,0.3355144130552322,46520.07632747891,10.70919186621653,93.39458935697594,2608914817.877161,310.4962233785535,0.850300451770751,1.2671257943345193,2987.475070201976,120.0,False,120.0,124.0,124.0
a000_i050,0.0,50,PAIRING_DESTROYED,PRIMARY_GEOMETRY_DEPENDENT,224,36864,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,222,0,9485.654519671283,0.7363022629423772,12882.826791493411,10.069389800208253,96.55691786463971,906019947.2440549,30.123240801012027,0.045047924061757644,0.7687604727351686,2371.45583263144,76.0,False,76.0,96.0,96.0
a000_i050,0.0,50,DELTA_G_INDIRECT,PRIMARY_GEOMETRY_DEPENDENT,224,0,1536,2.0006902899631998,49.96361550530872,58.11851405777771,100.0,224,-1,-1,1973798.579557025,7.220644007040188e-07,2733549220308.542,2.1542508953127957,,9867639.8723748,,,,,,False,n/a,,n/a
